Rk,Team,G,MP
1,Minnesota Timberwolves,80,19300
2,Memphis Grizzlies,79,19060
3,Milwaukee Bucks,79,19035
4,Phoenix Suns,79,19010
5,Charlotte Hornets,79,19160
6,Atlanta Hawks,79,18985
7,Denver Nuggets,80,19300
8,Utah Jazz,79,19010
9,San Antonio Spurs,79,19085
10,Brooklyn Nets,79,19035
11,Indiana Pacers,80,19400
12,Sacramento Kings,80,19325
13,Chicago Bulls,79,19010
14,Los Angeles Lakers,79,19235
15,Miami Heat,80,19375
16,Boston Celtics,79,19185
17,Houston Rockets,80,19275
18,Golden State Warriors,79,19010
19,Philadelphia 76ers,79,19085
20,Toronto Raptors,79,19135
21,New Orleans Pelicans,79,19035
22,Washington Wizards,79,19110
23,Cleveland Cavaliers,80,19250
24,Los Angeles Clippers,79,19060
25,Dallas Mavericks,79,19035
26,Portland Trail Blazers,79,19010
27,New York Knicks,79,19060
28,Orlando Magic,80,19300
29,Detroit Pistons,79,19060
30,Oklahoma City Thunder,79,19085
